Member,Total VP,MANA VP,LAND VP,NAMES VP,Delegated VP,L1 Wearables VP,Rental VP,Has Delegated,Delegate,Has Delegators,Delegators Amount,Delegators,Avatar Preview
0x4cb01b6672bc750821af952ec5a2447fc90195b1,245,0,0,200,0,45,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x4cb01b6672bc750821af952ec5a2447fc90195b1
0xa05bca6f6d9c0bc2c3a597ac3f800eaf502aca66,475.0000000000015,65.00000000000149,0,400,0,10,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0xa05bca6f6d9c0bc2c3a597ac3f800eaf502aca66
0x1177ba1e2fa6dbf1c9753c4e3405410173af1e83,3448.0500046742354,0,0,200,3213.0500046742354,35,0,false,,true,2,"0xe114774be1a75784639efbfc1c11fc120b22a3ef,0xaebfd95f6d4dea633487f4a17f4f866ad6b6afce",https://wearable-preview.decentraland.org/?profile=0x1177ba1e2fa6dbf1c9753c4e3405410173af1e83
0xc1b8662a68f3eb66bc5e5c4de7c1ef04dc344d53,12194.816201299258,1589.816201299257,10000,600,0,5,0,false,,true,1,0x03744b2aaf73b4f8679955747f3bc2d315c7a678,https://wearable-preview.decentraland.org/?profile=0xc1b8662a68f3eb66bc5e5c4de7c1ef04dc344d53
0x8ab97bf40dfc245b56983dec00adfea03c7e4e85,0.23536527,0.23536527,0,0,0,0,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x8ab97bf40dfc245b56983dec00adfea03c7e4e85
0xf6852df0c0a18ac3a4cb4b5d470895f86d3861ce,2110,0,2000,100,0,10,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0xf6852df0c0a18ac3a4cb4b5d470895f86d3861ce
0x1f149885bb140f07ff88de2ac4d521bc27964c1b,88890.00054000001,18000.00054,68000,2700,0,190,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x1f149885bb140f07ff88de2ac4d521bc27964c1b
0x2456c20507770151fb3eb6d3a1a0eebd8113697a,509.75,509.75,0,0,0,0,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x2456c20507770151fb3eb6d3a1a0eebd8113697a
0x3d22181456a33c2b23d6cdc7f5f3eb897c467a02,399.75,399.75,0,0,0,0,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x3d22181456a33c2b23d6cdc7f5f3eb897c467a02
0x43c2c373ba1be9ce857b8a76812afacd9f17e294,438.75,438.75,0,0,0,0,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x43c2c373ba1be9ce857b8a76812afacd9f17e294
0x9c16bd1ea70227abf7c353e0d3a95686cb0b1f08,745.875,745.875,0,0,0,0,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x9c16bd1ea70227abf7c353e0d3a95686cb0b1f08
0xc8204ac2411ca0ddeb731536a30c1cf08f1213e7,100,100,0,0,0,0,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0xc8204ac2411ca0ddeb731536a30c1cf08f1213e7
0xaabe0ecfaf9e028d63cf7ea7e772cf52d662691a,3906.3571744378187,101.35717443781873,2000,1600,0,205,0,true,0x6cf385da1f795cb26811867438e5f215e9b9bdf4,false,0,,https://wearable-preview.decentraland.org/?profile=0xaabe0ecfaf9e028d63cf7ea7e772cf52d662691a
0x60df279f7cc51d2f0ff903f68c3a8dfcf65419f7,3329,80,0,200,0,3049,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x60df279f7cc51d2f0ff903f68c3a8dfcf65419f7
0xca98f1b5ccf2e94a44b9853fd883a21b63b22836,0,0,0,0,0,0,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0xca98f1b5ccf2e94a44b9853fd883a21b63b22836
0x5d230e23f076223cbf049647e1d8f800fb4030ad,110,0,0,100,0,10,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x5d230e23f076223cbf049647e1d8f800fb4030ad
0xd6c556e191b48170dd687c51d0e61847ed625a81,0.06860326768476266,0.06860326768476266,0,0,0,0,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0xd6c556e191b48170dd687c51d0e61847ed625a81
0x193a2418b2254633ec39981ab2afb295f790fc94,100,0,0,100,0,0,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x193a2418b2254633ec39981ab2afb295f790fc94
0x7b86f1ee2eaf3195356a1b9e19acc5bd5b7d68aa,205,100,0,100,0,5,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x7b86f1ee2eaf3195356a1b9e19acc5bd5b7d68aa
0xe161cc33f5b430be52aa69520d32cd3f39fa2be6,1616000,0,1616000,0,0,0,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0xe161cc33f5b430be52aa69520d32cd3f39fa2be6
0xc32cf9dbe9d79cdb386817343c683a1068e707c3,648.375,648.375,0,0,0,0,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0xc32cf9dbe9d79cdb386817343c683a1068e707c3
0xaaf0eb7d49cddbb8d6d516689b9427cf69239c9f,21150,0,0,100,0,21050,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0xaaf0eb7d49cddbb8d6d516689b9427cf69239c9f
0xe68a4a7ed0e26746b55deb191be6c7a8da29b9ef,0,0,0,0,0,0,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0xe68a4a7ed0e26746b55deb191be6c7a8da29b9ef
0x750a31fa07184caf87b6cce251d2f0d7928badde,410,0,0,400,0,10,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x750a31fa07184caf87b6cce251d2f0d7928badde
0x3f24e38d5fc6ecae2c174108d5792e5da663583b,481.5710851518452,81.57108515184515,0,400,0,0,0,true,0x6cf385da1f795cb26811867438e5f215e9b9bdf4,false,0,,https://wearable-preview.decentraland.org/?profile=0x3f24e38d5fc6ecae2c174108d5792e5da663583b
0x86b29b22a9b84f4d8b2ad5b1aca84d117ce7df27,45,0,0,0,0,45,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x86b29b22a9b84f4d8b2ad5b1aca84d117ce7df27
0xf7e158bd2b6e79ef2f2ab72ac6cb2fea239c2a9b,4603.545964167017,103.54596416701679,4000,400,0,100,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0xf7e158bd2b6e79ef2f2ab72ac6cb2fea239c2a9b
0x3fdf6b7355c05ea6b3a224bb711cffbee8d20ac2,3343.016,0.016,0,100,0,3243,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x3fdf6b7355c05ea6b3a224bb711cffbee8d20ac2
0x6da0a1784de1abdde1734ba37eca3d560bf044c0,0,0,0,0,0,0,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x6da0a1784de1abdde1734ba37eca3d560bf044c0
0xee5c256721abe58af6f582c0efd6774dd2765038,20,0,0,0,0,20,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0xee5c256721abe58af6f582c0efd6774dd2765038
0x99fe1a841d59379acd34da92ad01cf4244e73475,6447,0,6000,100,0,347,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x99fe1a841d59379acd34da92ad01cf4244e73475
0x97ca90ab3a66abda308f0b238f2bb27aab48735f,620,0,0,200,0,420,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x97ca90ab3a66abda308f0b238f2bb27aab48735f
0x1b3010767f2f4c67a3f7e35bc3eab89069d2aaf6,464.09728291,164.09728291,0,300,0,0,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x1b3010767f2f4c67a3f7e35bc3eab89069d2aaf6
0xe58d9940a395d303e691dbe0676710d9c140101a,3525.4725,685.4725,2000,300,0,540,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0xe58d9940a395d303e691dbe0676710d9c140101a
0xba363b223e2d2b1b2a9017bac58a0a2b8137fb9a,2818.107302162097,2718.107302162097,0,100,0,0,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0xba363b223e2d2b1b2a9017bac58a0a2b8137fb9a
0xa3a4fd7b17983c4b6683547025be88801deaf15c,4111,1,4000,100,0,10,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0xa3a4fd7b17983c4b6683547025be88801deaf15c
0x76fb13f00cdbdd5eac8e2664cf14be791af87cb0,19967.567970325937,0,4000,1100,14847.56797032594,20,0,false,,true,4,"0x388acfc1bb2d6811823995213f60c0ca1cae845c,0xa01424b7540adbb792375dcf97b733a5d68ad347,0x6d41e23356ef0190bcde4d1fcc03d509fc5a10c9,0xaf60359e04d0642ae13fe0923c314398d69c34cf",https://wearable-preview.decentraland.org/?profile=0x76fb13f00cdbdd5eac8e2664cf14be791af87cb0
0x8f3c68def1aa2474498e42c6dbd1c295a65f23e7,0,0,0,0,0,0,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x8f3c68def1aa2474498e42c6dbd1c295a65f23e7
